date,description,keywords,title,url
2019-06-01,Saracens retain their Premiership title with three-try salvo in second half in 37-34 victory against Exeter at Twickenham,"Premiership,Exeter,Saracens,Rugby union,Sport,Premiership,Exeter,Saracens,Rugby union,Sport",Jamie George try caps stirring comeback as Saracens retain their title | Sport | The Guardian,http://www.theguardian.com/sport/2019/jun/01/exeter-saracens-premiership-play-off-final-match-report
2019-06-01,"As he is kicked out of Labour, the party’s former spin doctor and his daughter, Grace, talk Brexit and beyond","Alastair Campbell,Labour,European parliamentary elections 2019,Europe,European elections,World news,European Union,UK news,Politics,Alastair Campbell,Labour,European parliamentary elections 2019,Europe,European elections,World news,European Union,UK news,Politics","Politics, privilege and podcasts: at home with Alastair Campbell | Politics | The Guardian",http://www.theguardian.com/politics/2019/jun/01/alastair-campbell-grace-podcast-privilege-politics-at-home-labour
2019-06-01,The MP has taken a roundabout route to power – and drawn admiration and derision along the way,"Rory Stewart,Politics,Conservative leadership,Conservatives,UK news,Rory Stewart,Politics,Conservative leadership,Conservatives,UK news",How Rory Stewart went from 'Florence of Belgravia' to PM hopeful | Politics | The Guardian,http://www.theguardian.com/politics/2019/jun/01/opposite-career-politician-rory-stewart-pm-tory-leadership
2019-06-01,Richard Carapaz was on the verge of winning the Giro d’Italia after he retained the overall leader’s pink jersey in Saturday’s penultimate stage in the Dolomites,"Giro d'Italia,Cycling,Sport,Giro d'Italia,Cycling,Sport",Richard Carapaz on verge of winning Giro after holding off Vincenzo Nibali | Sport | The Guardian,http://www.theguardian.com/sport/2019/jun/01/richard-carapaz-giro-verge-vincenzo-nibali-20th-stage
2019-06-01,"From divisive remarks to social media successes, the past seven days have been eventful","Conservative leadership,Conservatives,Politics,UK news,Brexit,Article 50,European Union,Europe,Foreign policy,World news,Conservative leadership,Conservatives,Politics,UK news,Brexit,Article 50,European Union,Europe,Foreign policy,World news",Good week/bad week: Who's ahead in the Tory leadership race? | Politics | The Guardian,http://www.theguardian.com/politics/2019/jun/01/good-week-bad-week-whos-ahead-in-tory-leadership-race
2019-06-02,More than 200 people are turned away from agencies each day and the situation in capital cities is worsening,"Homelessness,Australia news,Poverty,Welfare,Centrelink,Housing,Melbourne,Victoria,Homelessness,Australia news,Poverty,Welfare,Centrelink,Housing,Melbourne,Victoria",Australia's homeless crisis: chance encounter highlights bugs in the system | Society | The Guardian,http://www.theguardian.com/society/2019/jun/02/australias-homeless-crisis-chance-encounter-highlights-bugs-in-the-system
2019-06-01,"Home secretary, who is running for PM, rules out second referendum, general election or revoking article 50","Sajid Javid,Brexit,Conservative leadership,Conservatives,Politics,European Union,Foreign policy,UK news,Article 50,Sajid Javid,Brexit,Conservative leadership,Conservatives,Politics,European Union,Foreign policy,UK news,Article 50",Sajid Javid prepared to leave EU without a deal | Politics | The Guardian,http://www.theguardian.com/politics/2019/jun/01/sajid-javid-prepared-to-leave-eu-without-a-deal
2019-06-01,Minute-by-minute report: Saracens produced a thrilling second-half comeback to edge out Exeter Chiefs and retain their title,"Premiership,Exeter,Saracens,Rugby union,Sport,Premiership,Exeter,Saracens,Rugby union,Sport",Saracens win Premiership after beating Exeter in thrilling final – as it happened | Sport | The Guardian,http://www.theguardian.com/sport/live/2019/jun/01/exeter-saracens-premiership-rugby-union-final-2019-live
2019-07-01,"Would-be PM would do away with pay freezes, says his ally Matt Hancock","Public sector pay,Public services policy,Politics,Society,UK news,Conservative leadership,Boris Johnson,Conservatives,Matt Hancock,Public sector pay,Public services policy,Politics,Society,UK news,Conservative leadership,Boris Johnson,Conservatives,Matt Hancock","Public sector to get 'fair' pay rises under Johnson, says health secretary | Society | The Guardian",http://www.theguardian.com/society/2019/jul/01/public-sector-to-get-fair-pay-rises-under-johnson-says-health-secretary
2019-07-01,"Talking to suicidal people, care workers trying CPR and patients who want ambulances for back pain is all in a week’s work","Emergency services,Society,Mental health,Health,NHS,Family,Life and style,Work & careers,Guardian Careers,Money,Children,Society Professionals,Emergency services,Society,Mental health,Health,NHS,Family,Life and style,Work & careers,Guardian Careers,Money",'A child can't breathe. The parents hang up before I get the address': my job as a 999 call-taker | Society | The Guardian,http://www.theguardian.com/society/2019/jul/01/child-cant-breathe-parents-hang-up-job-999-call-taker
2019-07-01,"Distress and depression more common than in other high-level jobs, study finds","Mental health,House of Commons,Politics,UK news,Health,Society,Mental health,House of Commons,Politics,UK news,Health,Society",Three in four MPs ‘probably have poor mental health’ | Society | The Guardian,http://www.theguardian.com/society/2019/jul/01/three-in-four-mps-probably-have-poor-mental-health
2019-07-01,A Cambridge academic has devised a loose formula for explaining infractions. We applied it to some of the most common social blunders,"Society,Society",From breakages to birthdays: 10 perfect excuses for everyday cock-ups | Society | The Guardian,http://www.theguardian.com/society/shortcuts/2019/jul/01/from-breakages-to-birthdays-10-perfect-excuses-for-everyday-cock-ups
2019-07-01,Rising temperatures and more carbon dioxide mean pollen season now lasts longer,"Hay fever,Health,UK news,Hay fever,Health,UK news",Weatherwatch: how pollution helps fuel UK hay fever epidemic | Society | The Guardian,http://www.theguardian.com/society/2019/jul/01/weatherwatch-hay-fever-pollution-rising-temperatures-carbon-dioxide-uk
2019-07-02,Survey by Adoption UK charity blames funding constraints and inadequate teacher training,"Adoption,Children,Society,Schools,Education,Exclusions,UK news,Adoption,Children,Society,Schools,Education,Exclusions,UK news","Adopted children let down by cash-starved schools, research finds | Society | The Guardian",http://www.theguardian.com/society/2019/jul/02/adopted-children-let-down-by-cash-starved-schools-research-finds
2019-05-01,Australian-born player convicted over attack that was part of sexual conquest ‘game’,"Rape and sexual assault,Australia news,UK news,Rape and sexual assault,Australia news,UK news","Cricketer Alex Hepburn, who raped sleeping woman, jailed for five years | Society | The Guardian",http://www.theguardian.com/society/2019/apr/30/cricketeer-alex-hepburn-who-raped-sleeping-woman-jailed-for-five-years
2019-05-01,"Up to 40,000 deaths could be averted in UK alone if obesity was eliminated, or 9,400 if rising obesity was halted","Obesity,Health,Diabetes,Cancer,UK news,Brazil,Denmark,Mexico,Canada,Obesity,Health,Diabetes,Cancer,UK news,Brazil,Denmark,Mexico,Canada","Cutting obesity would slash number of early deaths, research finds | Society | The Guardian",http://www.theguardian.com/society/2019/may/01/cutting-obesity-would-slash-number-of-early-deaths-research-finds
2019-05-01,The government wants nurses to use the technology – but there are concerns over privacy,"NHS,Mental health,Nursing,Hospitals,Health,Health policy,Society,Technology,UK news,NHS,Mental health,Nursing,Hospitals,Health,Health policy,Society,Technology,UK news",Can body cameras protect NHS staff and patients from violence? | Hélène Mulholland | Society | The Guardian,http://www.theguardian.com/society/2019/may/01/body-cameras-protect-hospital-staff-patients-violence-mental-health-wards
2019-05-01,"Food insecurity affected one in five adults in England, Wales and Northern Ireland in 2016","Food poverty,Poverty,Society,UK news,Food poverty,Poverty,Society,UK news",Likelihood of poorer adults struggling to buy food is rising – study | Society | The Guardian,http://www.theguardian.com/society/2019/may/01/likelihood-of-poorer-adults-struggling-to-buy-food-is-rising-study
2019-07-02,Cuts to local government funding mean many will be forced to act to stave off bankruptcy,"Local government,Austerity,Tax and spending,Politics,Society,UK news,Local government,Austerity,Tax and spending,Politics,Society,UK news",One in five councils face drastic spending cuts within months | Society | The Guardian,http://www.theguardian.com/society/2019/jul/02/one-in-five-councils-face-drastic-spending-cuts-within-months
2019-05-01,Police hunt Joseph McCann as urgent review is launched into his release on licence,"Rape and sexual assault,Crime,Law,Society,UK news,Metropolitan police,Police,London,Rape and sexual assault,Crime,Law,Society,UK news,Metropolitan police,Police,London",Suspected serial rapist may have been freed from jail early in error | Society | The Guardian,http://www.theguardian.com/society/2019/may/01/urgent-review-over-serial-suspect-freed-early-from-prison
2019-07-01,"Trafficked women can return to Africa ‘wealthy and held in high regard’, says updated guidance","Home Office,Human trafficking,Law,Politics,UK news,Nigeria,Africa,World news,Home Office,Human trafficking,Law,Politics,UK news,Nigeria,Africa,World news",Home Office advice on trafficked women from Nigeria sparks outrage | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/home-office-advice-on-trafficked-women-from-nigeria-sparks-outrage
2019-07-01,Chancellor says no-deal Brexit would drain £26bn that rivals claim could be a ‘war chest’,"Philip Hammond,Conservative leadership,Jeremy Hunt,Conservatives,Boris Johnson,Brexit,Government borrowing,Tax and spending,Politics,UK news,Economics,Business,Philip Hammond,Conservative leadership,Jeremy Hunt,Conservatives,Boris Johnson,Brexit,Government borrowing,Tax and spending,Politics,UK news",Hammond warns Johnson and Hunt over spending promises | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/philip-hammond-boris-johnson-jeremy-hunt-brexit
2019-07-01,Make UK says Tory candidates show ‘zero understanding’ of consequences of no deal,"Brexit,Boris Johnson,Jeremy Hunt,Manufacturing sector,Business,Trade policy,Politics,UK news,Conservative leadership,Conservatives,European Union,Brexit,Boris Johnson,Jeremy Hunt,Manufacturing sector,Business,Trade policy,Politics,UK news,Conservative leadership,Conservatives","Johnson and Hunt's Brexit pledges irresponsible, say manufacturers | Politics | The Guardian",http://www.theguardian.com/politics/2019/jul/01/boris-johnson-and-jeremy-hunt-no-deal-brexit-pledges-blasted-by-business-leaders
2019-07-01,Both Tory leadership hopefuls have made promises ranging from tax cuts to defence,"Tax and spending,Conservative leadership,Budget deficit,Boris Johnson,Jeremy Hunt,Brexit,Conservatives,Business,UK news,Economics,Economic growth (GDP),Public sector pay,Government borrowing,Tax and spending,Conservative leadership,Budget deficit,Boris Johnson,Jeremy Hunt,Brexit,Conservatives,Business,UK news,Economics",Do spending plans of Boris Johnson and Jeremy Hunt add up? | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/do-spending-plans-of-boris-johnson-and-jeremy-hunt-add-up-brexit
2019-07-01,Brief letters: Visa test cheating claims | Michael Rosen | Corsets | Headlines | Glastonbury,"Sajid Javid,Politics,Home Office,Students,Higher education,Education,Michael Rosen,Books,Fashion,Life and style,Glastonbury festival,Festivals,Music festivals,Music,UK news,Sajid Javid,Politics,Home Office,Students,Higher education,Education,Michael Rosen,Books,Fashion,Life and style",Festival fatigue and regressive corsets | Brief letters | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/festival-fatigue-and-regressive-corsets
2019-07-01,Supporters of Jeremy Hunt and Boris Johnson say they believe no-deal Brexit is unlikely,"Conservative leadership,Brexit,Boris Johnson,Jeremy Hunt,Conservatives,Foreign policy,Politics,UK news,European Union,Europe,World news,Conservative leadership,Brexit,Boris Johnson,Jeremy Hunt,Conservatives,Foreign policy,Politics,UK news,European Union,Europe",Brexit: both Tory sides play down risk of no-deal after business alarm | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/brexit-tory-leadership-no-deal-risk-business-alarm-jeremy-hunt-boris-johnson
2019-07-01,Aides say PM is not ready to answer questions about her turbulent premiership – let alone anoint a successor,"Theresa May,G20,Politics,UK news,World news,Theresa May,G20,Politics,UK news,World news",Theresa May makes last stop on humble journey to the backbenches | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/pm-makes-last-stop-on-humble-journey-to-the-backbenches
2019-07-01,"Supporters say the Corbyn ally, once a friend to the Jewish community, does not listen","Labour,Antisemitism,Jeremy Corbyn,Derby,UK news,Politics,Labour,Antisemitism,Jeremy Corbyn,Derby,UK news,Politics",Chris Williamson: 'no place' in Labour for MP embroiled in antisemitism row | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/chris-williamson-labour-mp-antisemitism-row
2019-07-01,Chairman who guided the Liberal party through the Jeremy Thorpe affair,"Liberal Democrats,House of Lords,Politics past,Politics,UK news,Liberal Democrats,House of Lords,Politics past,Politics,UK news",Lord Tordoff obituary | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/lord-tordoff-obituary
2019-07-01,The horror! The horror! There was nothing like the smell of Boris napalm in the morning,"Jeremy Hunt,Politics,Boris Johnson,Brexit,Conservative leadership,Conservatives,Jeremy Hunt,Politics,Boris Johnson,Brexit,Conservative leadership,Conservatives",Everyman plastic politician Jeremy Hunt mutates into Kamikaze Kurtz | John Crace | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/everyman-plastic-politician-jeremy-hunt-mutates-into-kamikaze-kurtz
2019-07-01,Labour’s leader in House of Lords at head of cross-party effort to establish joint committee of MPs and peers,"Brexit,Labour,House of Lords,European Union,Economic policy,Politics,Europe,UK news,Brexit,Labour,House of Lords,European Union,Economic policy,Politics,Europe,UK news",Angela Smith launches bid to commission report on no-deal Brexit risks | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/angela-smith-labour-bid-report-no-deal-brexit-risks
2019-06-01,"Chris Exley, who says aluminium in vaccines may cause autism, has raised more than £22,000","Vaccines and immunisation,Health,Society,Research,Education,Higher education,Research funding,Keele University,UK news,Autism,Vaccines and immunisation,Health,Society,Research,Education,Higher education,Research funding,Keele University,UK news,Autism",Professor who claims vaccines linked to autism funded through university portal | Society | The Guardian,http://www.theguardian.com/society/2019/jun/01/professor-who-links-vaccines-to-autism-funded-through-university-portal
